Row Labels,Count of Delivery Date
1/13/2016,6
1/13/2018,3
1/13/2019,10
1/13/2020,15
1/13/2021,1
1/14/2016,13
1/14/2017,6
1/14/2018,3
1/14/2019,5
1/14/2020,9
1/14/2021,17
1/15/2016,2
1/15/2018,10
1/15/2019,13
1/15/2020,17
1/15/2021,1
1/16/2017,9
1/16/2018,1
1/16/2019,9
1/16/2020,13
1/17/2017,3
1/17/2018,9
1/17/2019,15
1/17/2020,23
1/18/2016,4
1/18/2017,9
1/18/2018,4
1/18/2019,22
1/18/2020,10
1/18/2021,8
1/19/2016,1
1/19/2017,3
1/19/2018,4
1/19/2019,7
1/19/2020,21
1/19/2021,1
1/20/2016,10
1/20/2017,2
1/20/2018,3
1/20/2019,21
1/20/2020,18
1/21/2016,2
1/21/2017,4
1/21/2018,1
1/21/2019,7
1/21/2020,22
1/21/2021,5
1/22/2016,3
1/22/2018,11
1/22/2019,17
1/22/2020,16
1/22/2021,1
1/23/2016,2
1/23/2018,3
1/23/2019,6
1/23/2020,10
1/23/2021,2
1/24/2016,3
1/24/2019,8
1/24/2020,14
1/24/2021,7
1/25/2016,3
1/25/2017,7
1/25/2018,2
1/25/2019,5
1/25/2020,25
1/25/2021,5
1/26/2016,7
1/26/2017,2
1/26/2018,8
1/26/2019,3
1/26/2020,4
1/26/2021,11
1/27/2016,2
1/27/2018,25
1/27/2019,12
1/27/2020,6
1/27/2021,12
1/28/2016,5
1/28/2017,1
1/28/2018,1
1/28/2019,1
1/28/2020,4
1/28/2021,1
1/29/2017,3
1/29/2018,29
1/29/2019,5
1/29/2020,7
1/29/2021,4
1/30/2016,3
1/30/2017,13
1/30/2018,6
1/30/2019,8
1/30/2020,22
1/31/2016,2
1/31/2017,6
1/31/2018,2
1/31/2019,16
1/31/2020,11
1/31/2021,2
10/13/2016,3
10/13/2017,8
10/13/2018,9
10/13/2019,18
10/13/2020,3
10/14/2016,2
10/14/2017,9
10/14/2018,5
10/14/2019,15
10/14/2020,1
10/15/2016,2
10/15/2017,2
10/15/2018,10
10/15/2019,7
10/15/2020,1
10/16/2016,1
10/16/2017,10
10/16/2018,19
10/16/2019,9
10/17/2016,4
10/17/2017,19
10/17/2018,9
10/17/2019,17
10/18/2016,5
10/18/2017,1
10/18/2018,7
10/18/2019,12
10/18/2020,2
10/19/2016,5
10/19/2017,6
10/19/2018,4
10/19/2019,1
10/19/2020,2
10/20/2016,2
10/20/2017,4
10/20/2018,2
10/20/2019,16
10/20/2020,4
10/21/2016,3
10/21/2017,6
10/21/2018,18
10/21/2019,11
10/22/2016,7
10/22/2017,4
10/22/2018,15
10/22/2019,3
10/22/2020,7
10/23/2017,8
10/23/2018,3
10/23/2019,6
10/23/2020,2
10/24/2017,9
10/24/2018,8
10/24/2019,8
10/24/2020,4
10/25/2016,8
10/25/2017,7
10/25/2018,7
10/25/2019,10
10/25/2020,2
10/26/2017,10
10/26/2018,8
10/26/2019,14
10/26/2020,4
10/27/2017,1
10/27/2018,12
10/27/2019,11
10/27/2020,1
10/28/2018,14
10/28/2019,15
10/28/2020,6
10/29/2017,3
10/29/2018,8
10/29/2019,11
10/29/2020,1
10/30/2016,2
10/30/2017,1
10/30/2018,9
10/30/2019,17
10/30/2020,12
10/31/2016,4
10/31/2018,5
10/31/2019,8
10/31/2020,2
11/13/2017,8
11/13/2018,16
11/13/2019,18
11/14/2016,5
11/14/2017,1
11/14/2018,10
11/14/2019,22
11/15/2016,4
11/15/2017,6
11/15/2018,1
11/15/2019,5
11/15/2020,1
11/16/2016,5
11/16/2017,6
11/16/2018,6
11/16/2019,8
11/16/2020,1
11/17/2016,4
11/17/2017,1
11/17/2018,13
11/17/2019,27
11/17/2020,1
11/18/2016,5
11/18/2017,5
11/18/2018,5
11/18/2019,21
11/18/2020,1
11/19/2016,10
11/19/2017,3
11/19/2018,12
11/19/2019,6
11/19/2020,2
11/20/2016,3
11/20/2017,6
11/20/2018,2
11/20/2019,14
11/21/2016,3
11/21/2017,5
11/21/2018,9
11/21/2019,9
11/22/2017,1
11/22/2018,12
11/22/2019,2
11/22/2020,3
11/23/2017,7
11/23/2018,6
11/23/2019,6
11/24/2016,4
11/24/2017,4
11/24/2018,19
11/24/2019,30
11/25/2016,8
11/25/2017,10
11/25/2018,7
11/25/2019,9
11/25/2020,14
11/26/2016,3
11/26/2017,5
11/26/2018,13
11/26/2019,14
11/26/2020,10
11/27/2017,1
11/27/2018,7
11/27/2019,22
11/28/2016,1
11/28/2017,3
11/28/2018,19
11/28/2019,16
11/28/2020,6
11/29/2017,7
11/29/2018,8
11/29/2019,21
11/29/2020,4
11/30/2016,5
11/30/2017,3
11/30/2018,15
11/30/2019,7
11/30/2020,1
12/13/2016,3
12/13/2017,7
12/13/2018,11
12/13/2019,23
12/13/2020,6
12/14/2016,1
12/14/2017,18
12/14/2018,10
12/14/2019,12
12/14/2020,4
12/15/2016,3
12/15/2017,8
12/15/2018,13
12/15/2019,23
12/15/2020,7
12/16/2017,9
12/16/2018,14
12/16/2019,11
12/16/2020,1
12/17/2017,8
12/17/2018,17
12/17/2019,13
12/17/2020,4
12/18/2016,3
12/18/2017,8
12/18/2018,23
12/18/2019,18
12/18/2020,8
12/19/2016,5
12/19/2017,13
12/19/2018,21
12/19/2019,23
12/19/2020,2
12/20/2016,1
12/20/2017,6
12/20/2018,12
12/20/2019,5
12/20/2020,3
12/21/2016,10
12/21/2017,9
12/21/2018,10
12/21/2019,17
12/21/2020,15
12/22/2016,9
12/22/2017,18
12/22/2018,9
12/22/2019,24
12/22/2020,6
12/23/2016,2
12/23/2017,9
12/23/2018,25
12/23/2019,39
12/23/2020,3
12/24/2016,7
12/24/2017,9
12/24/2018,28
12/24/2019,14
12/24/2020,3
12/25/2016,14
12/25/2017,13
12/25/2018,23
12/25/2019,43
12/25/2020,8
12/26/2016,17
12/26/2017,10
12/26/2018,19
12/26/2019,25
12/26/2020,12
12/27/2016,14
12/27/2017,10
12/27/2018,22
12/27/2019,26
12/27/2020,6
12/28/2016,22
12/28/2017,19
12/28/2018,17
12/28/2019,39
12/28/2020,2
12/29/2016,7
12/29/2017,16
12/29/2018,22
12/29/2019,27
12/29/2020,18
12/30/2016,7
12/30/2017,7
12/30/2018,26
12/30/2019,14
12/30/2020,18
12/31/2016,2
12/31/2017,6
12/31/2018,33
12/31/2019,27
12/31/2020,19
2/13/2016,1
2/13/2018,11
2/13/2019,8
2/13/2020,6
2/13/2021,2
2/14/2016,3
2/14/2017,8
2/14/2018,5
2/14/2019,13
2/14/2020,14
2/14/2021,5
2/15/2016,8
2/15/2017,1
2/15/2018,4
2/15/2019,15
2/15/2020,15
2/15/2021,7
2/16/2016,3
2/16/2017,5
2/16/2018,4
2/16/2019,16
2/16/2020,19
2/16/2021,5
2/17/2016,4
2/17/2018,8
2/17/2019,20
2/17/2020,28
2/17/2021,4
2/18/2017,3
2/18/2018,10
2/18/2019,19
2/18/2020,23
2/18/2021,2
2/19/2017,8
2/19/2018,10
2/19/2019,16
2/19/2020,14
2/19/2021,9
2/20/2016,1
2/20/2017,12
2/20/2018,11
2/20/2019,18
2/20/2020,24
2/20/2021,4
2/21/2016,5
2/21/2017,10
2/21/2018,14
2/21/2019,11
2/21/2020,18
2/21/2021,25
2/22/2016,1
2/22/2017,9
2/22/2018,9
2/22/2019,35
2/22/2020,27
2/22/2021,24
2/23/2017,6
2/23/2018,6
2/23/2019,27
2/23/2020,18
2/23/2021,8
2/24/2016,1
2/24/2017,6
2/24/2018,26
2/24/2019,41
2/24/2020,29
2/24/2021,13
2/25/2016,3
2/25/2017,3
2/25/2018,10
2/25/2019,17
2/25/2020,30
2/25/2021,5
2/26/2016,10
2/26/2017,10
2/26/2018,8
2/26/2019,33
2/26/2020,30
2/26/2021,1
2/27/2016,6
2/27/2017,8
2/27/2018,20
2/27/2019,24
2/27/2020,32
2/27/2021,6
2/28/2016,7
2/28/2017,5
2/28/2018,10
2/28/2019,12
2/28/2020,23
2/29/2016,5
2/29/2020,19
3/13/2016,1
3/13/2017,7
3/13/2018,9
3/13/2019,5
3/13/2020,21
3/14/2016,2
3/14/2018,6
3/14/2019,17
3/14/2020,9
3/15/2016,9
3/15/2017,2
3/15/2018,8
3/15/2019,8
3/15/2020,26
3/16/2018,3
3/16/2019,10
3/16/2020,17
3/17/2016,3
3/17/2017,5
3/17/2018,1
3/17/2019,4
3/17/2020,13
3/18/2016,5
3/18/2017,4
3/18/2018,10
3/18/2019,8
3/18/2020,3
3/19/2017,3
3/19/2018,6
3/19/2019,7
3/19/2020,11
3/20/2016,2
3/20/2017,1
3/20/2018,1
3/20/2019,11
3/20/2020,4
3/21/2016,5
3/21/2018,7
3/21/2019,6
3/21/2020,1
3/22/2016,1
3/22/2019,3
3/25/2019,3
3/27/2017,2
4/26/2020,4
4/27/2019,1
4/27/2020,1
4/28/2019,3
4/28/2020,11
4/29/2019,8
4/29/2020,5
4/30/2018,1
4/30/2019,3
4/30/2020,5
5/13/2017,6
5/13/2018,2
5/13/2019,16
5/13/2020,17
5/14/2016,3
5/14/2018,6
5/14/2019,15
5/14/2020,19
5/15/2016,7
5/15/2017,9
5/15/2018,4
5/15/2019,5
5/15/2020,6
5/16/2016,3
5/16/2017,6
5/16/2018,7
5/16/2019,12
5/16/2020,5
5/17/2017,1
5/17/2018,2
5/17/2019,13
5/17/2020,7
5/18/2016,7
5/18/2017,3
5/18/2018,11
5/18/2019,16
5/18/2020,8
5/19/2016,6
5/19/2017,2
5/19/2018,8
5/19/2019,20
5/19/2020,11
5/20/2016,6
5/20/2017,7
5/20/2018,7
5/20/2019,14
5/20/2020,12
5/21/2017,6
5/21/2018,7
5/21/2019,34
5/21/2020,9
5/22/2017,1
5/22/2018,10
5/22/2019,13
5/22/2020,3
5/23/2016,3
5/23/2017,11
5/23/2018,5
5/23/2019,11
5/23/2020,3
5/24/2017,5
5/24/2018,6
5/24/2019,8
5/24/2020,1
5/25/2016,2
5/25/2017,5
5/25/2018,14
5/25/2019,13
5/25/2020,8
5/26/2017,11
5/26/2018,6
5/26/2019,13
5/27/2016,2
5/27/2018,8
5/27/2019,13
5/27/2020,6
5/28/2016,1
5/28/2019,17
5/28/2020,3
5/29/2016,3
5/29/2017,6
5/29/2018,3
5/29/2019,8
5/29/2020,10
5/30/2017,2
5/30/2018,18
5/30/2019,21
5/30/2020,10
5/31/2016,1
5/31/2017,9
5/31/2018,1
5/31/2019,14
5/31/2020,9
6/13/2017,11
6/13/2018,4
6/13/2019,23
6/13/2020,6
6/14/2016,5
6/14/2017,3
6/14/2018,15
6/14/2019,7
6/15/2016,3
6/15/2018,9
6/15/2020,2
6/16/2016,5
6/16/2017,1
6/16/2018,9
6/16/2019,8
6/16/2020,8
6/17/2016,1
6/17/2017,3
6/17/2018,8
6/17/2019,23
6/17/2020,8
6/18/2016,1
6/18/2018,9
6/18/2019,11
6/18/2020,6
6/19/2016,2
6/19/2017,9
6/19/2018,6
6/19/2019,15
6/19/2020,2
6/20/2017,2
6/20/2018,6
6/20/2019,11
6/20/2020,5
6/21/2016,4
6/21/2018,5
6/21/2019,14
6/21/2020,5
6/22/2016,2
6/22/2017,6
6/22/2018,9
6/22/2019,5
6/22/2020,1
6/23/2016,6
6/23/2017,2
6/23/2018,10
6/23/2019,20
6/23/2020,4
6/24/2016,6
6/24/2017,10
6/24/2018,4
6/24/2019,34
6/24/2020,1
6/25/2019,22
6/25/2020,3
6/26/2016,3
6/26/2017,3
6/26/2018,7
6/26/2019,11
6/26/2020,3
6/27/2016,2
6/27/2018,3
6/27/2019,14
6/27/2020,7
6/28/2016,3
6/28/2017,2
6/28/2019,8
6/28/2020,3
6/29/2016,4
6/29/2017,2
6/29/2018,5
6/29/2019,16
6/29/2020,16
6/30/2016,1
6/30/2017,12
6/30/2018,6
6/30/2019,20
7/13/2016,2
7/13/2017,4
7/13/2018,18
7/13/2019,7
7/13/2020,3
7/14/2018,6
7/14/2019,10
7/14/2020,4
7/15/2016,12
7/15/2017,18
7/15/2018,11
7/15/2019,25
7/15/2020,6
7/16/2016,4
7/16/2017,2
7/16/2018,5
7/16/2019,11
7/16/2020,6
7/17/2018,16
7/17/2019,13
7/17/2020,3
7/18/2017,2
7/18/2018,4
7/18/2019,9
7/18/2020,4
7/19/2016,8
7/19/2017,6
7/19/2018,5
7/19/2019,6
7/19/2020,11
7/20/2017,2
7/20/2018,10
7/20/2019,10
7/20/2020,2
7/21/2016,12
7/21/2017,5
7/21/2018,14
7/21/2019,7
7/21/2020,7
7/22/2016,10
7/22/2018,7
7/22/2019,22
7/22/2020,3
7/23/2016,4
7/23/2017,5
7/23/2018,11
7/23/2019,16
7/23/2020,18
7/24/2016,9
7/24/2017,5
7/24/2018,6
7/24/2019,15
7/24/2020,12
7/25/2016,5
7/25/2018,17
7/25/2019,9
7/25/2020,2
7/26/2017,1
7/26/2018,3
7/26/2019,18
7/27/2016,4
7/27/2017,3
7/27/2018,4
7/27/2019,7
7/27/2020,10
7/28/2018,6
7/28/2019,10
7/28/2020,4
7/29/2016,1
7/29/2017,11
7/29/2018,7
7/29/2019,6
7/30/2016,1
7/30/2017,8
7/30/2018,7
7/30/2019,7
7/30/2020,2
7/31/2017,1
7/31/2018,5
7/31/2019,7
8/13/2016,1
8/13/2017,3
8/13/2018,14
8/13/2019,26
8/13/2020,2
8/14/2016,4
8/14/2017,5
8/14/2018,5
8/14/2019,16
8/15/2016,2
8/15/2017,7
8/15/2018,4
8/15/2019,8
8/15/2020,5
8/16/2016,12
8/16/2017,7
8/16/2018,7
8/16/2019,11
8/16/2020,1
8/17/2018,8
8/17/2019,20
8/17/2020,4
8/18/2016,11
8/18/2017,5
8/18/2018,9
8/18/2019,5
8/18/2020,3
8/19/2016,1
8/19/2017,2
8/19/2018,2
8/19/2019,20
8/20/2017,6
8/20/2018,13
8/20/2019,24
8/20/2020,7
8/21/2016,2
8/21/2018,23
8/21/2019,10
8/22/2016,9
8/22/2018,2
8/22/2019,22
8/22/2020,3
8/23/2017,3
8/23/2018,9
8/23/2019,3
8/23/2020,7
8/24/2017,7
8/24/2018,4
8/24/2019,10
8/24/2020,8
8/25/2016,2
8/25/2018,11
8/25/2019,17
8/25/2020,1
8/26/2016,1
8/26/2017,1
8/26/2018,8
8/26/2019,28
8/27/2016,4
8/27/2017,5
8/27/2018,3
8/27/2019,12
8/27/2020,1
8/28/2017,11
8/28/2018,7
8/28/2019,7
8/28/2020,1
8/29/2016,5
8/29/2018,2
8/29/2019,24
8/30/2016,6
8/30/2017,14
8/30/2018,5
8/30/2019,12
8/30/2020,7
8/31/2016,6
8/31/2017,10
8/31/2018,12
8/31/2019,17
9/13/2016,7
9/13/2017,3
9/13/2018,5
9/13/2019,17
9/13/2020,2
9/14/2016,7
9/14/2018,13
9/14/2019,21
9/14/2020,3
9/15/2016,7
9/15/2018,14
9/15/2019,15
9/15/2020,5
9/16/2016,8
9/16/2017,4
9/16/2018,3
9/16/2019,14
9/16/2020,1
9/17/2018,12
9/17/2019,29
9/17/2020,4
9/18/2016,2
9/18/2017,8
9/18/2018,21
9/18/2019,15
9/18/2020,4
9/19/2016,2
9/19/2017,7
9/19/2018,10
9/19/2019,12
9/19/2020,1
9/20/2016,4
9/20/2017,3
9/20/2018,18
9/20/2020,1
9/21/2016,2
9/21/2017,1
9/21/2018,28
9/21/2019,4
9/22/2016,2
9/22/2017,1
9/22/2018,12
9/22/2019,27
9/22/2020,11
9/23/2016,8
9/23/2017,2
9/23/2018,10
9/23/2019,4
9/23/2020,2
9/24/2017,11
9/24/2018,14
9/24/2019,15
9/24/2020,2
9/25/2016,2
9/25/2017,11
9/25/2018,9
9/25/2019,4
9/25/2020,4
9/26/2017,11
9/26/2018,7
9/26/2019,15
9/26/2020,1
9/27/2016,5
9/27/2017,13
9/27/2018,4
9/27/2019,14
9/27/2020,2
9/28/2016,6
9/28/2017,2
9/28/2018,15
9/28/2019,14
9/28/2020,8
9/29/2016,11
9/29/2017,4
9/29/2018,5
9/29/2019,17
9/29/2020,2
9/30/2017,3
9/30/2018,8
9/30/2019,8
9/30/2020,12
02-01-2016,5
03-01-2016,11
05-01-2016,3
06-01-2016,6
07-01-2016,4
08-01-2016,10
09-01-2016,6
10-01-2016,5
11-01-2016,7
12-01-2016,8
02-02-2016,3
03-02-2016,3
06-02-2016,4
07-02-2016,1
08-02-2016,3
09-02-2016,2
10-02-2016,4
11-02-2016,6
03-03-2016,14
08-03-2016,4
09-03-2016,4
10-03-2016,6
11-03-2016,3
12-03-2016,4
02-04-2016,1
03-04-2016,1
05-04-2016,1
06-04-2016,2
07-04-2016,8
12-04-2016,16
03-05-2016,2
06-05-2016,5
07-05-2016,9
09-05-2016,3
10-05-2016,8
11-05-2016,3
12-05-2016,3
01-06-2016,2
02-06-2016,7
07-06-2016,3
09-06-2016,3
10-06-2016,5
11-06-2016,11
12-06-2016,1
01-07-2016,4
03-07-2016,1
06-07-2016,4
07-07-2016,10
08-07-2016,3
09-07-2016,3
10-07-2016,2
12-07-2016,5
01-08-2016,1
05-08-2016,7
06-08-2016,8
08-08-2016,2
09-08-2016,1
11-08-2016,6
12-08-2016,1
01-09-2016,1
02-09-2016,7
05-09-2016,2
06-09-2016,3
07-09-2016,4
10-09-2016,1
12-09-2016,5
01-10-2016,7
02-10-2016,7
03-10-2016,5
06-10-2016,7
07-10-2016,3
10-10-2016,7
11-10-2016,3
01-11-2016,2
02-11-2016,1
03-11-2016,4
06-11-2016,4
09-11-2016,4
10-11-2016,1
11-11-2016,9
01-12-2016,3
07-12-2016,6
10-12-2016,11
12-12-2016,6
01-01-2017,6
02-01-2017,6
03-01-2017,4
05-01-2017,2
06-01-2017,10
07-01-2017,2
09-01-2017,4
10-01-2017,7
11-01-2017,7
12-01-2017,3
01-02-2017,19
02-02-2017,2
03-02-2017,5
06-02-2017,1
07-02-2017,3
08-02-2017,5
09-02-2017,5
10-02-2017,2
11-02-2017,8
12-02-2017,3
01-03-2017,6
03-03-2017,7
05-03-2017,3
06-03-2017,1
07-03-2017,4
08-03-2017,1
10-03-2017,7
11-03-2017,1
12-03-2017,2
01-04-2017,14
03-04-2017,3
06-04-2017,6
07-04-2017,7
08-04-2017,5
09-04-2017,5
11-04-2017,4
12-04-2017,7
01-05-2017,13
02-05-2017,6
03-05-2017,2
06-05-2017,2
07-05-2017,6
08-05-2017,7
09-05-2017,8
10-05-2017,7
11-05-2017,2
12-05-2017,5
01-06-2017,5
02-06-2017,1
03-06-2017,4
06-06-2017,4
07-06-2017,8
08-06-2017,1
09-06-2017,10
10-06-2017,1
11-06-2017,3
12-06-2017,15
01-07-2017,10
02-07-2017,11
03-07-2017,6
05-07-2017,4
06-07-2017,1
07-07-2017,5
08-07-2017,2
09-07-2017,11
10-07-2017,3
01-08-2017,8
02-08-2017,4
03-08-2017,2
06-08-2017,3
07-08-2017,3
09-08-2017,8
10-08-2017,13
01-09-2017,6
02-09-2017,3
03-09-2017,11
05-09-2017,1
06-09-2017,7
07-09-2017,6
08-09-2017,6
09-09-2017,6
10-09-2017,4
11-09-2017,5
01-10-2017,5
02-10-2017,6
03-10-2017,3
05-10-2017,2
06-10-2017,2
07-10-2017,13
08-10-2017,4
10-10-2017,2
11-10-2017,6
12-10-2017,4
01-11-2017,4
02-11-2017,2
03-11-2017,3
05-11-2017,5
06-11-2017,4
07-11-2017,2
08-11-2017,6
09-11-2017,5
10-11-2017,9
12-11-2017,5
01-12-2017,15
02-12-2017,4
03-12-2017,10
05-12-2017,3
07-12-2017,3
09-12-2017,7
10-12-2017,5
11-12-2017,5
12-12-2017,2
01-01-2018,15
02-01-2018,6
03-01-2018,10
05-01-2018,5
06-01-2018,1
08-01-2018,5
09-01-2018,5
10-01-2018,7
11-01-2018,5
12-01-2018,7
01-02-2018,12
03-02-2018,5
05-02-2018,2
06-02-2018,7
07-02-2018,9
08-02-2018,7
09-02-2018,21
10-02-2018,11
11-02-2018,10
12-02-2018,23
01-03-2018,4
02-03-2018,1
03-03-2018,9
05-03-2018,3
06-03-2018,6
07-03-2018,9
08-03-2018,2
09-03-2018,10
10-03-2018,9
11-03-2018,10
12-03-2018,11
01-04-2018,16
02-04-2018,3
03-04-2018,13
05-04-2018,1
06-04-2018,10
07-04-2018,15
08-04-2018,4
09-04-2018,8
10-04-2018,8
11-04-2018,5
12-04-2018,3
01-05-2018,24
02-05-2018,5
03-05-2018,5
05-05-2018,4
06-05-2018,9
07-05-2018,13
09-05-2018,6
10-05-2018,5
11-05-2018,22
12-05-2018,6
01-06-2018,8
02-06-2018,3
03-06-2018,6
05-06-2018,3
06-06-2018,1
07-06-2018,5
08-06-2018,14
09-06-2018,3
10-06-2018,6
11-06-2018,31
12-06-2018,2
01-07-2018,16
03-07-2018,5
05-07-2018,8
06-07-2018,2
07-07-2018,9
08-07-2018,7
09-07-2018,11
10-07-2018,14
11-07-2018,6
01-08-2018,15
02-08-2018,10
03-08-2018,7
05-08-2018,11
06-08-2018,11
07-08-2018,15
08-08-2018,1
09-08-2018,19
10-08-2018,11
11-08-2018,2
12-08-2018,14
01-09-2018,8
02-09-2018,4
03-09-2018,7
05-09-2018,3
06-09-2018,11
07-09-2018,8
08-09-2018,3
09-09-2018,12
10-09-2018,17
11-09-2018,8
12-09-2018,9
01-10-2018,10
02-10-2018,15
03-10-2018,1
05-10-2018,13
06-10-2018,10
07-10-2018,4
08-10-2018,2
09-10-2018,13
10-10-2018,10
11-10-2018,9
12-10-2018,13
01-11-2018,9
02-11-2018,8
06-11-2018,15
07-11-2018,9
08-11-2018,13
09-11-2018,9
10-11-2018,10
11-11-2018,12
12-11-2018,7
01-12-2018,4
02-12-2018,6
03-12-2018,11
05-12-2018,16
06-12-2018,11
07-12-2018,9
08-12-2018,6
09-12-2018,5
10-12-2018,15
11-12-2018,8
12-12-2018,18
01-01-2019,34
02-01-2019,12
03-01-2019,8
05-01-2019,7
06-01-2019,6
07-01-2019,6
08-01-2019,2
09-01-2019,13
10-01-2019,8
11-01-2019,11
12-01-2019,6
01-02-2019,30
02-02-2019,5
03-02-2019,20
06-02-2019,21
07-02-2019,13
08-02-2019,4
09-02-2019,13
10-02-2019,16
11-02-2019,15
12-02-2019,24
01-03-2019,19
02-03-2019,12
03-03-2019,25
05-03-2019,5
06-03-2019,28
07-03-2019,7
08-03-2019,3
09-03-2019,22
10-03-2019,11
11-03-2019,18
12-03-2019,16
01-04-2019,19
02-04-2019,9
03-04-2019,17
05-04-2019,5
06-04-2019,20
07-04-2019,16
08-04-2019,9
09-04-2019,11
10-04-2019,4
11-04-2019,15
12-04-2019,20
01-05-2019,25
02-05-2019,21
03-05-2019,8
05-05-2019,17
06-05-2019,23
07-05-2019,20
08-05-2019,9
09-05-2019,20
10-05-2019,13
11-05-2019,15
12-05-2019,22
01-06-2019,23
02-06-2019,11
03-06-2019,13
05-06-2019,18
06-06-2019,17
07-06-2019,11
08-06-2019,2
09-06-2019,15
10-06-2019,9
11-06-2019,11
12-06-2019,8
01-07-2019,44
02-07-2019,7
03-07-2019,21
05-07-2019,18
06-07-2019,16
07-07-2019,9
08-07-2019,15
09-07-2019,13
10-07-2019,21
11-07-2019,21
12-07-2019,11
01-08-2019,23
02-08-2019,11
03-08-2019,6
05-08-2019,5
06-08-2019,19
07-08-2019,23
08-08-2019,6
09-08-2019,10
10-08-2019,7
11-08-2019,26
12-08-2019,23
01-09-2019,22
02-09-2019,15
03-09-2019,3
05-09-2019,8
06-09-2019,21
07-09-2019,15
08-09-2019,2
09-09-2019,14
10-09-2019,13
11-09-2019,16
12-09-2019,13
01-10-2019,18
02-10-2019,7
03-10-2019,13
05-10-2019,7
06-10-2019,21
07-10-2019,11
08-10-2019,5
09-10-2019,15
10-10-2019,18
11-10-2019,6
12-10-2019,13
01-11-2019,19
02-11-2019,8
03-11-2019,9
05-11-2019,7
06-11-2019,23
07-11-2019,14
08-11-2019,5
09-11-2019,21
10-11-2019,15
11-11-2019,27
12-11-2019,12
01-12-2019,10
02-12-2019,28
03-12-2019,24
05-12-2019,17
06-12-2019,7
07-12-2019,4
08-12-2019,19
09-12-2019,4
10-12-2019,13
11-12-2019,16
12-12-2019,8
01-01-2020,40
02-01-2020,7
03-01-2020,29
05-01-2020,7
06-01-2020,14
08-01-2020,1
09-01-2020,3
11-01-2020,2
12-01-2020,5
01-02-2020,38
02-02-2020,7
03-02-2020,20
05-02-2020,17
07-02-2020,8
08-02-2020,5
09-02-2020,2
10-02-2020,3
11-02-2020,2
01-03-2020,22
02-03-2020,15
03-03-2020,22
05-03-2020,15
06-03-2020,12
07-03-2020,4
08-03-2020,1
10-03-2020,3
11-03-2020,1
12-03-2020,4
01-04-2020,28
02-04-2020,3
03-04-2020,11
05-04-2020,5
06-04-2020,5
07-04-2020,7
08-04-2020,4
09-04-2020,3
10-04-2020,2
11-04-2020,1
12-04-2020,3
01-05-2020,41
02-05-2020,11
03-05-2020,26
05-05-2020,18
06-05-2020,1
07-05-2020,2
08-05-2020,1
09-05-2020,1
12-05-2020,4
01-06-2020,50
02-06-2020,7
03-06-2020,17
05-06-2020,11
06-06-2020,10
07-06-2020,14
08-06-2020,1
11-06-2020,1
12-06-2020,7
01-07-2020,16
02-07-2020,10
03-07-2020,8
05-07-2020,11
06-07-2020,16
07-07-2020,19
08-07-2020,7
09-07-2020,7
10-07-2020,5
11-07-2020,1
01-08-2020,25
02-08-2020,19
03-08-2020,16
05-08-2020,6
06-08-2020,18
07-08-2020,12
09-08-2020,3
10-08-2020,3
11-08-2020,4
12-08-2020,4
01-09-2020,39
02-09-2020,21
03-09-2020,9
05-09-2020,3
06-09-2020,7
07-09-2020,1
08-09-2020,7
09-09-2020,13
10-09-2020,8
11-09-2020,4
12-09-2020,1
01-10-2020,15
02-10-2020,12
03-10-2020,13
05-10-2020,15
06-10-2020,8
07-10-2020,1
08-10-2020,4
09-10-2020,7
10-10-2020,1
11-10-2020,9
01-11-2020,12
02-11-2020,6
03-11-2020,20
05-11-2020,7
06-11-2020,4
07-11-2020,7
09-11-2020,4
10-11-2020,6
11-11-2020,3
12-11-2020,6
01-12-2020,9
02-12-2020,6
03-12-2020,11
05-12-2020,10
06-12-2020,8
07-12-2020,6
08-12-2020,4
09-12-2020,1
11-12-2020,2
12-12-2020,2
01-01-2021,16
02-01-2021,5
01-02-2021,6
02-02-2021,6
01-03-2021,10
02-03-2021,1
02-04-2021,12
01-05-2021,5
01-06-2021,27
02-06-2021,8
01-07-2021,7
02-07-2021,11
01-08-2021,10
02-08-2021,4
01-09-2021,5
02-09-2021,3
01-10-2021,9
02-10-2021,4
02-11-2021,7
01-12-2021,3
02-12-2021,5
(blank),
Grand Total,13165
